Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
cat food mat,390,80.18,1.60,1.00,"Images, Review, Video"
best natural cat food,390,77.01,1.55,0.99,"Review, Video"
amazon cat food,390,99.43,1.43,0.50,"Review, Video"
applaws cat food,390,65.18,0.95,1.00,"Review, Video"
cat food container,390,80.85,0.89,1.00,"Images, Review, Video"
cat food feeder,390,74.33,0.83,0.68,"Images, Review, Video"
freshpet cat food,390,72.61,0.72,0.97,"Review, Video"
dog eating cat food,390,80.41,0.28,0.23,"Video, Featured Snippet"
raccoon steals cat food gif,390,81.31,0.00,0.02,"Images, Video"
dogs eating cat food,390,78.13,0.00,0.01,"Video, Featured Snippet"
can a dog eat cat food,390,79.04,0.00,0.00,"Video, Featured Snippet"
wet food for cats,320,80.17,8.92,0.98,"Images, Review, Video, Featured Snippet"
wet cat food reviews,320,74.22,8.29,0.71,"Review, Video"
all natural cat food,320,73.50,7.78,1.00,"Images, Review, Video, Featured Snippet"
premium cat food,320,72.93,7.40,0.90,"Images, Review"
dry cat food brands,320,81.20,7.39,1.00,"Images, Review, Video"
food for cats,320,79.77,6.66,0.87,"Images, Featured Snippet"
healthy cat food brands,320,76.46,6.38,0.97,Video
healthiest cat food brands,320,76.32,6.05,0.85,Video
merrick cat food reviews,320,75.65,4.47,0.51,"Review, Video"
cat food samples,320,63.94,3.63,0.84,"Review, Video"
max cat food,320,80.13,3.58,1.00,"Images, Review"
best cat food brand,320,77.67,3.40,0.82,"Review, Video"
low carb dry cat food,320,66.66,3.36,1.00,"Review, Video"
cat food comparison,320,71.57,3.21,0.70,"Review, Video"
low ash cat food,320,68.59,2.83,1.00,"Review, Video, Featured Snippet"
core wellness cat food,320,81.56,2.71,1.00,"Review, Video"
vegetarian cat food,320,74.92,2.67,1.00,"Review, Video"
taste of the wild cat food reviews,320,73.22,2.56,0.58,"Review, Video"
how much dry food to feed a cat,320,76.05,2.53,0.31,"Video, Featured Snippet"
fromm cat food reviews,320,70.48,2.35,1.00,"Review, Video"
iams cat food coupon,320,81.61,2.32,0.79,Video
royal canin cat food reviews,320,79.65,2.31,0.63,"Review, Video"
purina dry cat food,320,78.70,2.31,1.00,"Images, Review, Video"
felidae cat food,320,77.47,2.29,1.00,"Review, Video"
top rated cat food,320,74.02,2.21,1.00,Video
how much food should a cat eat,320,79.12,2.19,0.18,"Video, Featured Snippet"
go cat food,320,75.58,2.19,1.00,"Images, Review, Video"
best cat food for weight loss,320,79.34,2.11,1.00,Video
best cat food for sensitive stomach,320,80.43,1.94,1.00,Review
the best cat food,320,80.22,1.91,1.00,Video
royal canin gastrointestinal cat food,320,74.14,1.89,1.00,Review
call of the wild cat food,320,74.49,1.89,0.91,Review
wysong cat food,320,73.27,1.89,1.00,"Site Links, Review, Video"
royal canin prescription cat food,320,78.77,1.70,0.99,Review
royal canin hypoallergenic cat food,320,72.89,1.66,1.00,Review
purina one smartblend cat food,320,82.34,1.59,1.00,"Review, Video"
evo canned cat food,320,63.17,1.56,1.00,"Review, Video"
nine lives cat food,320,81.37,1.45,1.00,"Images, Review, Video"
wellness cat food recall,320,75.02,1.43,0.61,Review
foods cats can eat,320,82.88,1.38,0.04,"Video, Featured Snippet"
addiction cat food,320,68.77,1.38,0.79,"Knowledge Graph, Review, Video"
9lives cat food,320,83.41,1.21,1.00,"Images, Review"
blue diamond cat food,320,83.95,1.20,1.00,"Images, Review"
cat food recall 2015,320,77.44,1.16,0.29,
kit and kaboodle cat food,320,81.55,1.01,0.99,"Images, Review, Video"
tender vittles cat food,320,71.01,0.98,0.94,"Images, Video, Featured Snippet"
cat food and water dispenser,320,81.91,0.90,0.99,"Images, Review, Video"
iams cat food recall,320,79.06,0.86,0.34,Review
best dry cat food for indoor cats,320,77.46,0.85,1.00,"Review, Video"
good life cat food,320,82.25,0.84,0.97,"Review, Video"
cat food bowl,320,79.64,0.82,1.00,"Images, Video"
cat food puzzle,320,69.51,0.79,0.91,"Images, Review, Video"
cat food recalls,320,74.59,0.38,0.57,
trader joes cat food,320,76.87,0.30,0.65,"Review, Video"
cat eating dog food,320,81.43,0.26,0.21,"Images, Video, Featured Snippet"
human food cats can eat,320,81.71,0.00,0.02,"Video, Featured Snippet"
can cats eat human food,320,79.57,0.00,0.00,"Video, Featured Snippet"
healthiest canned cat food,260,77.76,7.00,0.87,"Review, Video, Featured Snippet"
grain free cat food reviews,260,71.20,6.84,0.76,"Review, Video"
good cat food brands,260,75.29,5.90,0.99,Review
food allergies in cats,260,77.09,4.29,0.85,"Images, Review, Video, Featured Snippet"
cat food recipe,260,75.92,4.24,0.64,"Review, Video"
nutro max cat food,260,78.82,4.15,1.00,"Images, Review"
hills prescription diet cat food,260,78.09,3.89,1.00,Review
making cat food,260,69.23,3.77,0.15,"Review, Video"
food for diabetic cats,260,75.09,3.77,1.00,"Review, Video, Featured Snippet"
core cat food,260,78.91,3.67,1.00,"Review, Video"
coupons for cat food,260,76.66,3.65,0.91,Review
how much cat food per day,260,78.23,3.62,0.39,"Video, Featured Snippet"
cat food sensitive stomach,260,80.63,3.26,1.00,Review
vet recommended cat food,260,74.75,3.25,0.81,"Review, Video, Featured Snippet"
rabbit cat food,260,67.51,3.24,1.00,"Review, Video"
rad cat food,260,65.55,3.18,0.77,"Knowledge Graph, Review, Video"
raw cat food brands,260,70.04,3.17,1.00,"Review, Video"
best wet cat food brands,260,76.79,3.14,1.00,
fancy feast canned cat food,260,79.81,3.01,1.00,"Images, Review, Video"
urinary tract health cat food,260,76.49,2.99,1.00,"Review, Video"
bulk cat food,260,77.74,2.79,1.00,"Review, Video"
hydrolyzed protein cat food,260,0.00,2.43,1.00,
wellness dry cat food,260,79.11,2.41,1.00,"Images, Review, Video"
hills kd cat food,260,75.56,2.37,0.99,"Review, Video"
blue wilderness cat food reviews,260,79.69,2.32,0.68,"Review, Video"
foods poisonous to cats,260,82.00,2.28,0.02,"Video, Featured Snippet"
iams dry cat food,260,82.24,2.22,1.00,"Images, Review"
purina ur cat food,260,73.58,2.12,1.00,Review
dick van patten cat food,260,79.13,2.12,0.97,"Review, Video"
purina urinary cat food,260,80.69,2.10,1.00,"Images, Review, Video"
science diet cd cat food,260,83.02,2.08,1.00,"Review, Video"
liquid cat food,260,76.06,2.03,1.00,Review
gourmet cat food,260,78.13,2.02,0.92,"Images, Review, Video"
purina urinary tract cat food,260,82.15,1.99,1.00,"Images, Review, Video"
iams senior cat food,260,84.15,1.87,1.00,"Images, Review, Video"
orijen cat food reviews,260,68.31,1.84,0.51,"Review, Video"
holistic select cat food,260,73.27,1.82,1.00,Review
cat food can lids,260,83.28,1.67,0.51,"Review, Video"
origin cat food,260,67.86,1.63,1.00,"Images, Review, Video"
id cat food,260,78.79,1.62,1.00,Review
top cat food brands,260,74.97,1.58,1.00,"Video, Featured Snippet"
nutro cat food reviews,260,73.45,1.58,0.75,"Review, Video"
beyond cat food coupon,260,81.87,1.57,0.69,
iams sensitive stomach cat food,260,82.24,1.49,0.92,"Images, Review"
iams cat food review,260,71.69,1.36,0.42,"Review, Video"
best cheap cat food,260,79.86,1.34,0.91,"Review, Video"
cat food dishes,260,80.20,1.02,1.00,"Images, Video"
best indoor cat food,260,80.40,1.01,1.00,Review
automatic cat feeder wet food,260,76.39,1.01,1.00,"Review, Video"
best cat food for sensitive stomachs,260,81.66,0.99,1.00,Review
baby food for cats,260,75.37,0.92,0.26,"Review, Video"
wet cat food dispenser,260,74.89,0.88,1.00,"Review, Video"
cat food recalls 2015,260,75.89,0.47,0.41,Video
fresh pet cat food,260,73.28,0.26,0.86,"Images, Review, Video"
diy cat food,260,73.68,0.13,0.07,"Images, Video"
is it ok for dogs to eat cat food,260,80.85,0.00,0.00,"Video, Featured Snippet"
dog ate cat food,260,79.96,0.00,0.01,"Review, Video, Featured Snippet"
raccoon cat food,260,76.94,0.00,0.01,"Images, Review, Video, Featured Video"
do cats need wet food,260,75.37,0.00,0.03,Featured Snippet
is it bad for dogs to eat cat food,260,79.00,0.00,0.01,Video
cats eating dog food,260,82.07,0.00,0.00,"Video, Featured Snippet"
dog eats cat food,260,76.54,0.00,0.00,"Video, Featured Snippet"
how much wet food to feed cat,260,81.67,0.00,0.02,"Review, Video, Featured Snippet"
can a cat eat dog food,260,83.31,0.00,0.01,"Video, Featured Snippet"
can i feed my dog cat food,260,78.58,0.00,0.01,Featured Snippet
cat food can stove,210,69.76,9.81,0.19,"Images, Review, Video"
natural cat food brands,210,73.43,9.17,0.96,Images
cat food ingredients,210,73.45,8.63,0.82,"Images, Review, Featured Snippet"
best cat food reviews,210,72.41,7.50,1.00,"Review, Video"
brands of cat food,210,76.30,7.48,0.97,Images
cat wet food,210,78.06,6.76,1.00,"Images, Review, Video"
cats food,210,83.78,6.71,0.93,"Images, Review, Video"
cat food coupon,210,75.47,5.44,0.87,Review
cat food for kidney disease,210,71.34,5.32,1.00,"Review, Video, Featured Snippet"
hairball cat food,210,82.38,5.12,1.00,"Images, Review"
best canned food for cats,210,78.06,4.89,1.00,"Review, Video"
ash in cat food,210,75.52,4.82,0.16,"Review, Video, Featured Snippet"
organic cat food brands,210,72.61,4.76,1.00,Images
cat food for diabetic cats,210,70.56,4.47,1.00,"Review, Video, Featured Snippet"
can cat food,210,83.96,4.43,1.00,"Images, Review, Video, Featured Snippet"
low iodine cat food,210,0.00,4.40,1.00,
high protein low carb cat food,210,68.61,4.40,1.00,Review
best dry cat foods,210,78.75,4.25,1.00,"Review, Video"
wet vs dry cat food,210,77.78,4.24,0.20,Video
royal canin cat food coupons,210,77.63,4.11,0.86,Review
pate cat food,210,76.46,4.06,1.00,"Images, Review, Video"
cat food calculator,210,64.27,4.02,0.12,
best raw cat food,210,64.73,3.96,0.93,"Review, Video"
free cat food samples by mail,210,66.54,3.95,0.82,Video
low calorie cat food,210,79.79,3.89,1.00,Review
low fat cat food,210,76.66,3.87,1.00,"Review, Video"
what foods can cats eat,210,81.19,3.86,0.05,"Video, Featured Snippet"
is cat food good for dogs,210,81.78,3.75,0.04,Review
urinary care cat food,210,76.31,3.54,1.00,Review
cat food for allergies,210,78.51,3.50,1.00,"Review, Video"
cat food brands list,210,76.39,3.48,0.83,Images
cat food for urinary health,210,75.22,3.46,1.00,Review
best organic cat food,210,78.20,3.35,1.00,Review
venison cat food,210,71.39,3.33,1.00,"Review, Video"
natural balance limited ingredient cat food,210,75.72,3.27,1.00,Review
cat food online,210,76.86,3.25,1.00,Review
homemade cat food recipe,210,69.84,3.24,0.45,"Review, Video"
royal canin diabetic cat food,210,70.68,3.17,1.00,"Review, Video"
how much wet food should i feed my cat,210,79.68,3.13,0.09,"Video, Featured Snippet"
purina en cat food,210,78.58,3.07,1.00,Review
metabolic cat food,210,76.45,2.91,1.00,"Review, Video"
whole foods cat food,210,64.98,2.83,0.42,"Review, Video"
wellness wet cat food,210,78.25,2.74,1.00,"Images, Review, Video"
purina natural cat food,210,78.71,2.72,1.00,"Images, Review, Video"
royal canin calm cat food,210,70.99,2.69,1.00,Review
renal cat food,210,72.27,2.69,1.00,Review
dm cat food,210,69.17,2.66,1.00,Review
halo cat food reviews,210,76.16,2.65,0.95,"Review, Video"
solid gold cat food reviews,210,67.35,2.63,0.64,"Review, Video"
iams canned cat food,210,83.27,2.57,1.00,"Review, Video"
wellness complete health cat food,210,83.13,2.52,1.00,Review
evo cat food reviews,210,78.74,2.52,0.56,"Review, Video"
low magnesium cat food,210,76.50,2.48,1.00,"Review, Video"
blue buffalo wet cat food,210,80.73,2.47,1.00,"Review, Video"
how much dry food should i feed my cat,210,77.85,2.43,0.24,Video
tiki cat food review,210,63.14,2.41,0.94,"Review, Video"
purina grain free cat food,210,80.41,2.37,1.00,"Images, Review, Video"
now cat food,210,73.98,2.28,0.96,"Images, Review, Video"
hills science diet cat food,210,85.14,2.26,1.00,"Review, Video"
canidae cat food reviews,210,71.19,2.26,0.58,"Review, Video"
cat food commercial,210,84.07,2.19,0.16,"Images, Review, Video"
best senior cat food,210,81.37,2.08,1.00,"Review, Video"
evo dry cat food,210,76.57,2.06,1.00,Review
natural balance cat food recall,210,75.54,11.33,0.49,Review
triumph cat food,210,67.93,1.94,1.00,"Review, Video"
best cat food for allergies,210,80.19,1.78,1.00,Review
blue basics cat food,210,81.44,1.73,1.00,"Review, Video"
blue buffalo canned cat food,210,79.57,1.72,1.00,"Review, Video"
iams wet cat food,210,82.11,1.69,1.00,"Images, Review, Video"
premium edge cat food,210,70.23,1.59,1.00,Review
ziwipeak cat food,210,72.31,1.52,1.00,"Review, Video"
iams healthy naturals cat food,210,82.20,1.52,1.00,"Images, Review, Video"
purina one urinary tract cat food,210,81.18,1.48,0.99,"Images, Review"
chicken soup cat food,210,72.76,1.41,0.99,"Review, Video"
precise cat food,210,68.44,1.35,0.98,Review
diamond naturals cat food,210,80.40,1.22,1.00,"Review, Video"
blue buffalo indoor cat food,210,79.91,1.21,1.00,"Images, Review, Video"
iams cat food ingredients,210,78.13,1.17,0.99,"Review, Video, Featured Snippet"
evangers cat food,210,73.38,1.13,1.00,"Knowledge Graph, Review, Video"
purina complete cat food,210,83.68,1.11,1.00,"Images, Review, Video"
blue cat food reviews,210,76.98,1.06,0.93,"Review, Video"
cat food storage container,210,84.52,1.01,1.00,"Images, Review, Video"
evo cat food recall,210,77.00,0.97,0.56,
primal raw cat food,210,76.48,0.91,1.00,"Review, Video"
cat food at walmart,210,85.99,0.90,1.00,"Images, Review, Video"
how to make your own cat food,210,76.67,0.85,0.27,Video
timed cat food dispenser,210,73.42,0.77,0.99,"Review, Video"
cat food storage,210,79.79,0.74,1.00,"Images, Review, Video"
tractor supply cat food,210,89.36,0.72,0.58,"Review, Video"
what foods are bad for cats,210,82.81,0.69,0.07,Video
aafco cat food,210,72.39,0.14,0.56,Review
cat eats dog food,210,86.29,0.00,0.00,"Video, Featured Snippet"
chinese food cat,210,87.43,0.00,0.00,"Images, Review, Video"
cat won t eat wet food,210,76.01,0.00,0.02,"Review, Video"
raccoon eating cat food,210,78.34,0.00,0.01,"Images, Video, Featured Video"
cat keeps throwing up food,210,80.95,0.00,0.09,Video
is dry food bad for cats,210,76.04,0.00,0.02,"Review, Video"
foods toxic to cats,210,82.06,0.00,0.01,"Review, Video, Featured Snippet"
racoon steals cat food,210,81.75,0.00,0.00,"Review, Video, Featured Video"
can humans eat cat food,210,89.04,0.00,0.00,"Video, Featured Snippet"
no grain cat food,170,72.74,8.02,1.00,Review
cat food brand,170,75.32,7.23,0.57,"Images, Video, Featured Snippet"
food cats can eat,170,80.86,6.90,0.02,"Video, Featured Snippet"
